,platform,code,indicators
231,Ushahidi,36a8347d-3e2c-5fc0-8e13-ac51644e10c2,
232,Ushahidi,0a40d188-f40b-5621-9754-30902292e9d6,
233,Ushahidi,0630074c-bfff-5110-9a5e-1b67e999779b,
234,HOT-TM,9137,
235,HOT-TM,9146,
236,HOT-TM,9153,
237,HOT-TM,9162,
238,HOT-TM,9252,
239,HOT-TM,9258,"11.5.3,11.5.2"
240,HOT-TM,9317,
241,HOT-TM,9457,
242,HOT-TM,9462,11.1.1
243,HOT-TM,9498,
244,HOT-TM,9521,
245,HOT-TM,9588,
246,HOT-TM,9634,
247,HOT-TM,9642,
248,HOT-TM,9664,15.3.1
249,HOT-TM,9679,
250,HOT-TM,9986,
251,HOT-TM,10048,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
252,HOT-TM,10090,"11.5.2,11.5.3"
253,HOT-TM,10190,
254,HOT-TM,10304,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
255,HOT-TM,10306,
256,HOT-TM,10333,
257,HOT-TM,10335,11.2.1
258,HOT-TM,10425,
259,HOT-TM,10486,
260,HOT-TM,10580,
261,HOT-TM,10622,1.4.1
262,HOT-TM,10625,
263,HOT-TM,10640,
264,HOT-TM,10682,
265,HOT-TM,10688,"2.4.1,5.a.1"
266,HOT-TM,10702,
267,HOT-TM,10761,
268,HOT-TM,10765,
269,HOT-TM,10868,11.1.1
270,HOT-TM,10878,
271,HOT-TM,10919,11.6.1
272,HOT-TM,10977,
273,HOT-TM,10984,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
274,HOT-TM,11044,1.1.1
275,HOT-TM,11052,5.2.2
276,HOT-TM,11053,11.6.1
277,HOT-TM,11203,
278,HOT-TM,11239,
279,HOT-TM,11284,"11.5.2,11.5.3"
280,HOT-TM,11328,
281,HOT-TM,11342,
282,HOT-TM,11360,
283,HOT-TM,11475,
284,HOT-TM,11491,
285,HOT-TM,11606,3.8.1
286,HOT-TM,11657,
287,HOT-TM,11685,
288,HOT-TM,11712,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
289,HOT-TM,11776,11.1.1
290,HOT-TM,11784,
291,HOT-TM,11893,"11.1.1,11.6.1"
292,HOT-TM,11940,"6.1.1,6.2.1"
293,HOT-TM,12032,
294,HOT-TM,12102,"1.5.1,11.5.1,13.1.1"
295,HOT-TM,12131,"1.5.1,11.5.1,13.1.1"
296,HOT-TM,12191,
297,HOT-TM,12323,"11.1.1,6.1.1,6.2.1"
298,HOT-TM,12415,
299,HOT-TM,12468,
300,HOT-TM,12664,
301,HOT-TM,12728,
302,HOT-TM,12839,"1.5.1,11.5.1,11.5.3,11.5.2,13.1.1"
303,HOT-TM,12872,
304,HOT-TM,12997,
305,HOT-TM,13077,"6.1.1,6.2.1"
306,HOT-TM,13108,
307,HOT-TM,13263,1.4.1
308,HOT-TM,13528,
309,HOT-TM,13542,
310,HOT-TM,13544,
311,HOT-TM,13726,
312,HOT-TM,13938,3.8.1
313,HOT-TM,13974,11.1.1
314,HOT-TM,14161,11.1.1
315,HOT-TM,14301,11.1.1
316,HOT-TM,14322,
317,HOT-TM,14397,
318,HOT-TM,14399,
319,HOT-TM,14450,"11.1.1,6.1.1,6.2.1"
320,HOT-TM,14489,11.1.1
321,HOT-TM,14589,
322,HOT-TM,14612,3.8.1
323,HOT-TM,14650,"11.5.2,11.5.3"
324,HOT-TM,14651,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
325,HOT-TM,14659,"6.4.1,6.3.2,6.6.1"
326,HOT-TM,14818,
327,HOT-TM,14859,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
328,HOT-TM,14946,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
329,HOT-TM,15000,"1.5.1,11.5.1,13.1.1"
330,HOT-TM,15214,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
331,HOT-TM,15224,11.1.1
332,HOT-TM,15295,"11.5.1,1.5.1,13.1.1,11.5.2,11.5.3"
333,HOT-TM,15421,
334,HOT-TM,15464,
335,HOT-TM,15561,
336,HOT-TM,15689,"11.5.2,1.5.1,11.5.1,11.5.3,13.1.1"
337,HOT-TM,15747,"11.5.2,1.5.1,11.5.1,11.5.3,13.1.1"
338,HOT-TM,15756,"11.5.2,1.5.1,11.5.1,11.5.3,13.1.1"
339,HOT-TM,15812,
340,HOT-TM,15904,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
341,HOT-TM,15960,
342,HOT-TM,15996,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
343,HOT-TM,16074,11.6.1
344,HOT-TM,16127,
345,HOT-TM,16177,
346,HOT-TM,16318,
347,HOT-TM,16470,
348,HOT-TM,16496,
349,HOT-TM,16504,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
350,HOT-TM,16528,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1,11.7.1"
351,HOT-TM,16529,"1.5.1,11.5.1,13.1.1"
352,HOT-TM,16543,
353,HOT-TM,16688,"1.5.1,11.5.1,13.1.1"
354,HOT-TM,16730,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
355,HOT-TM,16774,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
356,HOT-TM,16877,
357,HOT-TM,16922,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
358,HOT-TM,17086,
359,HOT-TM,17290,11.1.1
360,HOT-TM,17335,"1.5.1,11.5.1,13.1.1"
361,HOT-TM,17382,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
362,HOT-TM,17394,11.1.1
363,HOT-TM,17543,
364,HOT-TM,17931,
365,HOT-TM,18029,
366,HOT-TM,18072,
367,HOT-TM,18134,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
368,HOT-TM,18399,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
369,HOT-TM,18429,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
370,HOT-TM,18511,"11.7.1,6.1.1,6.4.1,6.2.1"
371,HOT-TM,8761,
372,HOT-TM,8784,
373,HOT-TM,8819,
374,HOT-TM,8823,11.1.1
375,HOT-TM,8963,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
376,HOT-TM,8967,
377,HOT-TM,9024,
378,HOT-TM,9069,6.3.2
379,HOT-TM,9164,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
380,HOT-TM,9178,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
381,HOT-TM,9184,
382,HOT-TM,9303,
383,HOT-TM,9334,"1.5.1,11.5.1,13.1.1"
384,HOT-TM,9374,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
385,HOT-TM,9405,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
386,HOT-TM,9406,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
387,HOT-TM,9449,
388,HOT-TM,9470,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
389,HOT-TM,9471,
390,HOT-TM,9473,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
391,HOT-TM,9541,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
392,HOT-TM,9578,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
393,HOT-TM,9677,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
394,HOT-TM,9714,
395,HOT-TM,9716,"11.5.2,11.5.3"
396,HOT-TM,9722,"11.5.2,11.5.3,11.5.1,1.5.1,13.1.1"
397,HOT-TM,9734,"11.5.2,11.5.3,11.5.1,1.5.1,13.1.1"
398,HOT-TM,9765,"11.5.2,11.5.3,11.5.1,1.5.1,13.1.1"
399,HOT-TM,9771,11.1.1
400,HOT-TM,9786,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
401,HOT-TM,9844,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
402,HOT-TM,9887,3.8.1
403,HOT-TM,9894,"1.5.1,11.5.1,13.1.1"
404,HOT-TM,9898,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
405,HOT-TM,9932,11.1.1
406,HOT-TM,9935,11.1.1
407,HOT-TM,10076,
408,HOT-TM,10133,"2.4.1,5.a.1"
409,HOT-TM,10198,
410,HOT-TM,10296,
411,HOT-TM,10318,
412,HOT-TM,10332,
413,HOT-TM,10358,
414,HOT-TM,10359,11.1.1
415,HOT-TM,10384,
416,HOT-TM,10453,
417,HOT-TM,10637,
418,HOT-TM,10645,
419,HOT-TM,10655,11.1.1
420,HOT-TM,10659,11.1.1
421,HOT-TM,10669,11.1.1
422,HOT-TM,10694,
423,HOT-TM,10810,"1.5.1,11.5.1,13.1.1"
424,HOT-TM,10864,
425,HOT-TM,10933,"6.3.2,11.7.1"
426,HOT-TM,10938,
427,HOT-TM,10942,
428,HOT-TM,11010,11.1.1
429,HOT-TM,11017,11.1.1
430,HOT-TM,11039,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
431,HOT-TM,11082,
432,HOT-TM,11146,"1.5.1,11.5.1,13.1.1"
433,HOT-TM,11187,11.1.1
434,HOT-TM,11256,
435,HOT-TM,11264,
436,HOT-TM,11265,"1.5.1,11.5.1,13.1.1"
437,HOT-TM,11266,"1.5.1,11.5.1,13.1.1"
438,HOT-TM,11325,"1.5.1,11.5.1,13.1.1"
439,HOT-TM,11343,
440,HOT-TM,11356,
441,HOT-TM,11409,
442,HOT-TM,11413,
443,HOT-TM,11460,11.1.1
444,HOT-TM,11760,"1.5.1,11.5.1,13.1.1"
445,HOT-TM,11778,
446,HOT-TM,11805,
447,HOT-TM,11813,"6.1.1,6.2.1"
448,HOT-TM,11814,"6.1.1,6.2.1"
449,HOT-TM,11817,11.1.1
450,HOT-TM,11899,
451,HOT-TM,11901,"1.5.1,11.5.1,13.1.1"
452,HOT-TM,11908,
453,HOT-TM,11964,
454,HOT-TM,11974,
455,HOT-TM,11978,
456,HOT-TM,11980,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
457,HOT-TM,11995,
458,HOT-TM,12000,
459,HOT-TM,12033,
460,HOT-TM,12034,
461,HOT-TM,12038,"1.5.1,11.5.1,13.1.1"
462,HOT-TM,12055,
463,HOT-TM,12080,"1.5.1,11.5.1,13.1.1"
464,HOT-TM,12086,
465,HOT-TM,12179,11.1.1
466,HOT-TM,12233,4.5.1
467,HOT-TM,12256,11.1.1
468,HOT-TM,12359,
469,HOT-TM,12405,
470,HOT-TM,12466,
471,HOT-TM,12493,
472,HOT-TM,12515,11.1.1
473,HOT-TM,12602,"1.5.1,11.5.1,13.1.1"
474,HOT-TM,12614,
475,HOT-TM,12683,
476,HOT-TM,12685,
477,HOT-TM,12753,
478,HOT-TM,12956,
479,HOT-TM,13146,11.1.1
480,HOT-TM,13209,
481,HOT-TM,13429,"1.5.1,11.5.1,13.1.1"
482,HOT-TM,13477,
483,HOT-TM,13508,
484,HOT-TM,13533,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
485,HOT-TM,13553,"6.1.1,6.2.1"
